Elemention Green Boulevard,-4282429,4.1,134,"Tower, B, B9/A, Lower Ground Floor, Paramahansa Yoganand Road, Noida Sector 62, Noida - 201309, Opposite Tata Consultancy Services"
,,,,
Talwalkars Hi-Fi,-2405972,3.8,131,"B-23/A ,2nd Floor, Gautam Budh Nagar, Noida Sector 62, Noida - 201309, Behind Fortis Hospital"
,,,,
Active Gym,-9911698064,4.1,128,"House No -100, Taj Express Highway, Noida Extension, Noida - 201305, Near Siddharth Vihar Main Road"
,,,,
Wanted Boys Club,-7065065495,4.8,126,"Matrika Vihar, Khora Colony, Noida - 201309, Near Khan Cycle,"
,,,,
Dumbbell Bells Fitness Stud..,-8447996464,4.2,126,"B-435 Khazur Colony Sadarpur Amrapali Road, Near Hanuman Mandir, Sector 44, Noida - 201303"
,,,,
My Fitness Club,-9718246946,4.7,125,"A-120 Sector 92 Noida, Noida Sector 92, Noida - 201304, Near Super Mig"
,,,,
Prateek Laurel Gym,-9858288189,3.8,122,"Sector 120, Noida - 201307"
,,,,
Fitness 52,-4154231,3.9,120,"B 27, Shatabdi Vihar Road, Noida - 201307, Near Community Centre"
,,,,
Workout Zone,-8810469605,4.8,118,"PK-16, Sector 122, Noida Sector 122, Delhi - 201307, Near Kondli Bazar"
,,,,
Trinity Fitness & Slimming ..,-9211311026,4.8,113,"Plot Number-9, Main Road 12-22, Noida Sector 22, Noida - 201301, Opposite Government Inter College Sector-12"
,,,,
Power World Fitness Center,-9582199504,3.8,111,"479, MT Road, Village Hosiarpur, Noida Sector 51, Noida - 201307, Near Shivalik"
,,,,
U Turn Fitness,-9999595418,4.9,110,"Opposit J-55, Near Indian Overseas Bank, Noida Sector 22, Noida - 201301"
,,,,
Fitness First (Mall Of Indi..,-6229630,4.2,103,"Mall Of India , Lower Ground Floor, Noida Sector 18, Noida - 201301, Opposite Store 99"
,,,,
X Factor Gym,-4232333,4.2,101,"D-13,Basement, Noida Sector 52, Noida - 201301, Near Aravali Appartments"
,,,,
Gym Byte,-7835871377,3.2,101,"Ground Floor, Noida Sector 26, Noida - 201301, Near Dps School"
,,,,
Phoenix Gym,-4554579,4.5,100,"A48, A Block, Sector 26, Shaheed Arjun Sarona Marg, Noida Sector 27, Noida - 201301"
,,,,
The Gym,-9205498350,3.6,97,"Block I, Noida Sector 22, Noida - 201301, Near Shiv Mandir, Physical College"
,,,,
Anytime Fitness,-8447609093,4.6,95,"Shop No-1/A/B/C/D, Divine Meadows GH-04, Noida Sector 108, Noida - 201304"
,,,,
Body Engineers,-8010503109,4.6,93,"A-2, Noida Sector 92, Noida - 201304, Near India TV Office"
,,,,
Premier Fitness Club & Spa ..,-4225256,3.7,90,"Shop Number 401/402, 2nd Floor, Shopprix Mall, Noida Sector 61, Noida - 201307, Near Shopix Mall"
,,,,
Fitness Myantra,-9536312996,4.5,87,"D -18, Noida Sector 15, Noida - 201301, Near By Foriegn Registration Office"
,,,,
Fitness Myantra,-9718581829,4.5,87,"Plot No -01 ,Naya Bans, Rawat Building, Noida Sector 15, Noida - 201301, Near Noida Public Liberary"
,,,,
Addiction Gym,-4226829,4,84,"Shop No-2,3,4 ,5, Noida Sector 25, Noida - 201301, Opposite  Bal Bharti Public School, Main Market ,Jalvayu Vihar"
,,,,
Gym 99,-9560018502,4.4,82,"B-156A, Tulip Mall, Noida Sector 46, Delhi - 201303"
,,,,
Revitaal Mantrra,-4311251,3.5,82,"P 3, Krishna Apra Plaza, Ist Floor, F7/8, Noida Sector 18, Noida - 201301, Near Metro Station 18, Near Icici Bank Atm"
,,,,
Grand Fitness,-9650402047,5,79,"180 A, Sector 18, Noida - 201301, Near Vinayak Hospital"
,,,,
Sreez Fitness For Zumba,-9560950352,4.7,79,"Amrapali Silicon City, Sector 76, Flat F 906, Noida - 201301"
,,,,
HealthZone Gym,-8010006073,3.6,79,"Street No. 16, Sadarpur, Sector45, Shiv Mandir Wali Gali, Chhalera Bangar, Noida - 201303, Near RSS International Schol"
,,,,
Fit4u,-4179635,5,77,"B-1  55, Noida Sector 36, Noida - 201303, Near City Dental & Logic Mall"
,,,,
4 Fitness Gym,-9958153324,4.2,77,"Plot Number 2, Noida Sector 49, Noida - 201303, Behind  Hanuman Murti"
,,,,
The New Generation Health C..,-8882419916,3.9,77,"Roshan Complex, Street No 2, Mamura, Noida - 201307, Near Shramik Kunj"
,,,,
Sweat Zone,-4211128,3.7,77,"A 56/1 The Noddy International School (Basement), Noida Sector 50, Noida - 201307, Near Central Market"
,,,,
The Fitness Point Gym,-9717576006,4.5,75,"H No- B- 17, Begraj Complex,, Noida Sector 53, Noida - 201301, Near Hanuman Mandir"
,,,,
Fitmax Fitness & Health Clu..,-9718299934,4.4,72,"C-513, Amrapali Road, Noida Sector 44, Noida - 201303, Near Pnb Bank, C Block"
,,,,
Xtreme Gym,-9818068607,4.4,71,"Shop No 9 to 14 Second Floor, Deepak Vihar, Noida Sector 62, Noida - 201309, Green India Palace"
,,,,
Xtreme Gym,-9213951860,4.4,71,"Plot No. E-7 Deepak Vihar, Main Road, Noida Sector 62, Noida - 201309, Opposite .Assotech Building"
,,,,
Legion Gym,-9899919559,3.7,70,"A 91, Noida Sector 36, Noida - 201303, Near Golf Course Metro Station"
,,,,
SIP Academy,-9818658570,4.8,68,"Noida Sector 27, Noida - 201301, Behind Sub Mall, Above Aryabhatt Stationary"
,,,,
Fitness Freak,-8448229933,4.5,68,"Building No BS  07, Sector 70, Delhi - 201307, Near Sapphire International School"
,,,,
The Iron Pumpers GYM,-8285561167,3.9,67,"I-block, RAGHUNATHPUR-NOIDA SECTOR 22, Noida - 201301"
,,,,
Prems Gym,-4290046,3.8,65,"A-682, Noida Sector 19, Noida - 201301, Behind Little Scholar School,A Block, Pocket A"
,,,,
Golds Gym,-9355129809,4.7,64,"1st Floor ,Gaur City Club,GH 01, Noida Extension, noida - 201305"
,,,,
Parsona Live Gym,-9718825524,4.1,64,"A Square Mall, Basement, Noida Sector 73, Noida - 201307, Near Global Indian International School"
,,,,
Noida Health Club,No Number!,3.9,64,"Chhalera, Sector 44, Chhalera Bangar, Noida - 201303"
,,,,
Crossfit Lakshya,-9910029017,4.1,58,"3rd Floor, KM-01, Starling Mal Road, Noida Sector 104, Noida - 201304, Opposite Pathways International School"
